node_id,label,feat
kmeasure-3c4f2bdd-d403-11ec-96cf-00155d8545fd,10024,"0.00952112799503585, 1.0"
kmeasure-3c4a9615-d403-11ec-addb-00155d8545fd,10023,"0.00303798759652904, 1.0"
kmeasure-3c4f277c-d403-11ec-a026-00155d8545fd,10018,"0.0419358603288031, 1.0"
kmeasure-3c4fe886-d403-11ec-b3ad-00155d8545fd,10025,"0.00155431685509725, 1.0"
kmeasure-3c50cd9d-d403-11ec-8dca-00155d8545fd,10012,"0.231308627287495, 1.0"
kmeasure-3c50bf64-d403-11ec-88d3-00155d8545fd,10012,"0.18815714779554, 1.0"
kmeasure-3c507c2d-d403-11ec-88cf-00155d8545fd,10016,"0.0449435824743179, 1.0"
kmeasure-3c4def0f-d403-11ec-8ccf-00155d8545fd,10005,"0.01014643924719, 1.0"
kmeasure-3c4c71da-d403-11ec-b3ca-00155d8545fd,10010,"0.00976750323301125, 1.0"
kmeasure-3c4c7a87-d403-11ec-a5bf-00155d8545fd,10010,"0, 1.0"
kmeasure-3c4c9318-d403-11ec-99b9-00155d8545fd,10010,"0, 1.0"
kmeasure-3c4a383a-d403-11ec-8bf0-00155d8545fd,10011,"0.0332530187122917, 1.0"
kmeasure-3c5095a5-d403-11ec-bf46-00155d8545fd,10016,"0.0665458932599041, 1.0"
kmeasure-3c4b88b3-d403-11ec-92e0-00155d8545fd,10015,"0, 1.0"
kmeasure-3c4b7ae5-d403-11ec-91db-00155d8545fd,10015,"0, 1.0"
kmeasure-3c4f8de4-d403-11ec-baf0-00155d8545fd,10020,"0.00862332684930325, 1.0"
kmeasure-3c4c8595-d403-11ec-8fb6-00155d8545fd,10010,"0, 1.0"
kmeasure-3c506c2b-d403-11ec-a1df-00155d8545fd,10021,"0.000620560479224368, 1.0"
kmeasure-3c4b647c-d403-11ec-b292-00155d8545fd,10003,"0.000741200108726894, 1.0"
kmeasure-3c4aaccb-d403-11ec-88af-00155d8545fd,10023,"0, 1.0"
kmeasure-3c4c652c-d403-11ec-84ab-00155d8545fd,10014,"0.0849571340449826, 1.0"
kmeasure-3c4d170d-d403-11ec-a03a-00155d8545fd,10007,"0.00539085243060578, 1.0"
kmeasure-3c4bb715-d403-11ec-8ba7-00155d8545fd,10028,"0.110938900382626, 1.0"
kmeasure-3c4afffa-d403-11ec-b91f-00155d8545fd,10026,"0.00439939767154887, 1.0"
kmeasure-3c50218f-d403-11ec-b15f-00155d8545fd,10017,"0, 1.0"
kmeasure-3c4de008-d403-11ec-bab1-00155d8545fd,10005,"0.0129121959410909, 1.0"
kmeasure-3c4a7a84-d403-11ec-ba71-00155d8545fd,10023,"0.00407735398967162, 1.0"
kmeasure-3c4e24a5-d403-11ec-bad4-00155d8545fd,10019,"0.0517529501146373, 1.0"
kmeasure-3c4aa406-d403-11ec-bf94-00155d8545fd,10023,"0.00847969208510562, 1.0"
kmeasure-3c4b93db-d403-11ec-907b-00155d8545fd,10015,"1.64355877423101E-05, 1.0"
kmeasure-3c502012-d403-11ec-a9df-00155d8545fd,10017,"0, 1.0"
kmeasure-3c4cf047-d403-11ec-a02a-00155d8545fd,10007,"0.0971203888800884, 1.0"
kmeasure-3c504957-d403-11ec-a732-00155d8545fd,10021,"0.021840830838992, 1.0"
kmeasure-3c4f175a-d403-11ec-a2a2-00155d8545fd,10018,"0.0672345364112539, 1.0"
kmeasure-3c4b532b-d403-11ec-a1f8-00155d8545fd,10003,"6.27776644467581E-05, 1.0"
kmeasure-3c4f0fe7-d403-11ec-b4b5-00155d8545fd,10018,"0.0535169448806094, 1.0"
kmeasure-3c4df3ba-d403-11ec-b1cd-00155d8545fd,10005,"0.00272714259136743, 1.0"
kmeasure-3c50bcdc-d403-11ec-99a8-00155d8545fd,10012,"0.213763715793538, 1.0"
kmeasure-3c502c35-d403-11ec-8a0a-00155d8545fd,10017,"0, 1.0"
kmeasure-3c4eb47c-d403-11ec-8789-00155d8545fd,10008,"0.0189808952685271, 1.0"
